title,NER,Protein,Protein Group
Vegetable And Lamb Curry,"[""butter"", ""vegetable oil"", ""onion"", ""garlic"", ""red curry"", ""butternut"", ""tomatoes"", ""coconut cream"", ""green beans"", ""cilantro""]",Lamb,Meat
Lamb Curry Madras,"[""lamb shoulder"", ""salt"", ""freshly ground black pepper"", ""vegetable oil"", ""onions"", ""garlic"", ""black mustard seeds"", ""Garam Masala"", ""turmeric"", ""ground cardamom"", ""ground cumin"", ""red pepper"", ""lamb stock Brown"", ""basmati rice""]",Lamb,Meat
"Lamb, Spinach And Potato Curry","[""vegetable oil"", ""lamb"", ""onions"", ""cooking"", ""chicken stock"", ""potatoes"", ""baby spinach""]",Lamb,Meat
Slow Cooker Lamb And Pepper Curry ,"[""I"", ""Onion"", ""ginger"", ""garlic"", ""seeds"", ""fennel seeds"", ""cumin"", ""turmeric"", ""coriander"", ""brown sugar"", ""salt"", ""green chilli pepper"", ""bell peppers"", ""tomatoes""]",Lamb,Meat
"Lamb & Apricot Curry {Aip, Paleo, Whole 30}","[""olive oil"", ""white onions"", ""garlic"", ""turmeric"", ""salt"", ""fresh ginger"", ""carrots"", ""cilantro / corriander leaf"", ""coconut milk"", ""broth"", ""lime"", ""apricots"", ""lamb stew meat"", ""frozen spinach""]",Lamb,Meat
Kashmiri Lamb Curry,"[""plain yogurt"", ""saffron threads"", ""ground almonds"", ""ghee"", ""onions"", ""simmer"", ""baby spinach"", ""lemon juiced"", ""bread"", ""rice""]",Lamb,Meat
Keema Curry,"[""onion"", ""garlic"", ""curry powder"", ""fresh coriander"", ""ground lamb"", ""tomatoes"", ""frozen peas"", ""peanut corn oil"", ""salt""]",Lamb,Meat
"Kheema (Minced Lamb, Potato And Pea Curry)","[""lean"", ""potatoes"", ""onions"", ""garlic"", ""ginger"", ""green chillies"", ""tomatoes"", ""salt"", ""handful coriander"", ""ground coriander dhaniya"", ""turmeric haldi"", ""ground cumin"", ""Garam Masala""]",Lamb,Meat
Lamb Curry With Yogurt,"[""peppers"", ""fresh ginger"", ""garlic"", ""onion"", ""coriander seeds Ground"", ""ground turmeric"", ""cumin seeds"", ""yogurt"", ""onion"", ""butter"", ""salt""]",Lamb,Meat
6 Ingredient Lamb And Cashew Curry,"[""onion"", ""garlic"", ""curry powder"", ""cashews"", ""coconut milk"", ""lamb"", ""oil""]",Lamb,Meat
East Indian Curry,"[""butter"", ""onions"", ""curry powder"", ""lamb"", ""bay leaf"", ""tomatoes"", ""juice"", ""saffron"", ""cardamon"", ""clove garlic"", ""clove"", ""cinnamon"", ""ginger root shaved"", ""lemon juice"", ""salt"", ""Tabasco Pepper""]",Lamb,Meat
Lamb Curry,"[""boneless lamb"", ""pepper"", ""cornstarch"", ""olive oil"", ""yellow onions"", ""garlic"", ""chicken soup"", ""curry powder"", ""ginger"", ""salt""]",Lamb,Meat
Mutton Curry,"[""mutton"", ""water"", ""peppercorns"", ""thyme"", ""parsley"", ""butter"", ""curry"", ""salt"", ""rice""]",Lamb,Meat
Lamb Coconut Curry,"[""kilogram"", ""onions"", ""garlic"", ""green mango"", ""ginger grated"", ""coconut milk"", ""cilantro"", ""coconut oil"", ""turmeric powder"", ""cumin powder"", ""salt"", ""water""]",Lamb,Meat
Lamb Curry,"[""all-purpose"", ""pepper"", ""chuck roast"", ""corn oil"", ""water"", ""onion"", ""unsweetened applesauce"", ""curry powder"", ""lemon juice""]",Lamb,Meat
Kofta Curry,"[""garlic"", ""aubergine"", ""ground lamb"", ""ground cinnamon"", ""ground cloves"", ""gingerroot"", ""salt"", ""coriander"", ""onions"", ""stock"", ""garlic"", ""ground turmeric"", ""ground cinnamon"", ""ground coriander"", ""cayenne pepper"", ""tomato paste"", ""salt""]",Lamb,Meat
Slow Cooker Lamb Curry,"[""Grapeseed Oil"", ""Yellow Onion"", ""Garlic"", ""Fresh Ginger"", ""Ground Cumin"", ""Ground Coriander"", ""Ground Cloves"", ""Turmeric"", ""Red Pepper"", ""Ground Paprika"", ""Ground Cinnamon"", ""Salt"", ""Chicken"", ""Baby Spinach"", ""Yogurt""]",Lamb,Meat
Lamb Shank Braised with Green Curry and Vegetables,"[""lemongrass stalks"", ""cumin seeds"", ""cilantro stems"", ""fresh galangal"", ""garlic"", ""fresh green finger chiles"", ""fresh green Thai chiles"", ""belacan"", ""shallots"", ""lime"", ""fish sauce"", ""sugar"", ""lamb shanks"", ""extra virgin olive oil"", ""Salt"", ""stalk"", ""fresh galangal"", ""fresh green Thai chiles"", ""lime"", ""fresh cilantro"", ""onion"", ""chicken stock"", ""coconut milk"", ""baby carrots"", ""baby turnips"", ""scallions"", ""fresh peas"", ""fresh fava beans"", ""eggplants"", ""unsalted butter""]",Lamb,Meat
Lalla's Special Mutton/Beef/Chicken Curry,"[""chicken"", ""Oil"", ""Onions"", ""Potatos"", ""carrots"", ""Tomatoes"", ""Salt"", ""Mixed Masala"", ""green ginger"", ""Tumeric Powder"", ""curry"", ""Cardamon"", ""Cinnamon"", ""Cinnamon"", ""Cumin"", ""Coriander Leaves"", ""Masala""]",Lamb,Meat
Lamb Curry,"[""onion"", ""oil"", ""ginger"", ""curry"", ""water"", ""tomatoes"", ""coriander"", ""garam masala"", ""salt""]",Lamb,Meat
Lamb and Chickpea Meatballs with an Almond Center in Coconut Milk Curry,"[""ground lamb"", ""ground cumin"", ""kosher salt"", ""freshly ground black pepper"", ""blanched almonds"", ""peanut"", ""fennel seeds"", ""white onion"", ""fresh ginger"", ""curry powder"", ""ground cumin"", ""ground turmeric"", ""cayenne pepper"", ""kosher salt"", ""unsweetened coconut milk"", ""lime juice"", ""cilantro"", ""basmati rice""]",Lamb,Meat
Coconut Lamb Curry with Potatoes and Cauliflower,"[""new red potatoes"", ""head of cauliflower"", ""chops"", ""Salt"", ""extra-virgin olive oil"", ""onions"", ""chiles"", ""garlic"", ""curry powder"", ""chicken stock"", ""unsweetened coconut milk"", ""heavy cream"", ""currants"", ""honey"", ""fresh cilantro""]",Lamb,Meat
Curry Lamb Naan Tostadas,"[""Coconut Milk"", ""Curry"", ""Salt"", ""Brown Rice Couscous"", ""Bread"", ""Greek Yogurt"", ""Red Onion""]",Lamb,Meat
Lamb Cutlet and Spinach Curry With Coconut Bananas,"[""olive oil"", ""lamb cutlets"", ""salt"", ""ground pepper"", ""onion"", ""garlic"", ""ground turmeric"", ""ground cumin"", ""curry powder"", ""ginger"", ""tomatoes"", ""banana"", ""lemon juice"", ""coconut"", ""baby spinach leaves"", ""brown rice""]",Lamb,Meat
Lamb Curry,"[""lamb meat"", ""vegetable oil"", ""cardamom seeds"", ""cloves"", ""cinnamon"", ""fresh galangal"", ""lemongrass stalks"", ""salam"", ""coconut milk"", ""curry"", ""red chilies"", ""shallots"", ""garlic"", ""candlenuts"", ""fresh ginger"", ""fresh turmeric"", ""coriander seeds"", ""anise seed"", ""black"", ""fennel seeds"", ""Salt""]",Lamb,Meat
Simple Lamb Curry With Carrot Raita,"[""ginger"", ""garlic"", ""turmeric powder"", ""cumin"", ""coriander seed"", ""cayenne"", ""Salt"", ""ghee"", ""red onions"", ""cloves"", ""black"", ""cinnamon"", ""plain yogurt"", ""ghee"", ""black mustard seed"", ""cumin"", ""garlic"", ""carrot"", ""cayenne"", ""Salt"", ""mint""]",Lamb,Meat
Bombay Curry - Lamb Curry,"[""ghee"", ""onions"", ""garlic"", ""green chiles"", ""ginger"", ""turmeric"", ""ground cumin"", ""ground coriander"", ""chili powder"", ""salt"", ""tomatoes"", ""coconut milk"", ""rice"", ""condiments""]",Lamb,Meat
Meat Curry (Bobotie),"[""lamb"", ""bread"", ""milk"", ""onions"", ""apple"", ""butter"", ""curry powder"", ""caster sugar"", ""salt"", ""almonds"", ""handful raisins"", ""eggs"", ""pepper""]",Lamb,Meat
Lamb Curry,"[""lamb"", ""salt"", ""pepper"", ""unsalted butter"", ""water"", ""onions"", ""flour"", ""curry powder"", ""beef stock"", ""lemon juice"", ""coconut""]",Lamb,Meat
Marinated Lamb Chops with Fenugreek Cream Curry Recipe courtesy Vij's,"[""lamb"", ""white wine"", ""grainy mustard"", ""kosher salt"", ""whipping cream"", ""kosher salt"", ""paprika"", ""cayenne pepper"", ""lemon juice"", ""canola oil"", ""garlic"", ""ground turmeric""]",Lamb,Meat
Kofta Curry - the Yorkshire Way,"[""lamb"", ""ghee"", ""onions"", ""garlic"", ""peppers"", ""green cardamom"", ""fresh gingerroot"", ""coriander seed"", ""chili powder"", ""turmeric powder"", ""coriander powder"", ""cumin powder"", ""bay leaves"", ""potatoes"", ""vegetable bouillon cubes"", ""ground mace"", ""natural yoghurt""]",Lamb,Meat
Curry of Lamb Breast And Potatoes,"[""lamb breasts"", ""onions"", ""curry powder"", ""chili powder"", ""tomato paste"", ""apples"", ""salt"", ""potatoes""]",Lamb,Meat
Cashew Lamb or Pork Curry,"[""onion"", ""garlic"", ""butter"", ""lamb"", ""curry"", ""flour"", ""milk"", ""salt"", ""cayenne pepper"", ""cashews"", ""tomatoes""]",Lamb,Meat
Mutton Curry,"[""oil"", ""mutton"", ""onions"", ""cumin"", ""black cardamom pods"", ""green cardamoms"", ""peppercorns"", ""cloves"", ""cinnamon sticks"", ""red chili powder"", ""coriander powder"", ""turmeric powder"", ""red chilies"", ""salt"", ""water"", ""fresh coriander""]",Lamb,Meat
Lamb and Sweet Potato Curry,"[""green cardamom"", ""sunflower oil"", ""Salt"", ""black pepper"", ""onion"", ""garlic"", ""ginger"", ""ground coriander"", ""ground cumin"", ""turmeric"", ""cayenne pepper"", ""sweet potato"", ""natural yoghurt"", ""Handful""]",Lamb,Meat
Lamb Curry,"[""olive oil"", ""garlic"", ""ginger"", ""curry powder"", ""cayenne pepper"", ""onions"", ""tomatoes"", ""potatoes"", ""salt"", ""black pepper"", ""coriander""]",Lamb,Meat
Cape Malay Lamb Curry,"[""cooking oil"", ""onion"", ""cardomon pods"", ""cloves"", ""tomato"", ""masala"", ""cumin"", ""coriander"", ""salt"", ""garlic"", ""fresh ginger"", ""fresh red chilli"", ""lamb stock"", ""potatoes"", ""tumeric"", ""fennel""]",Lamb,Meat
Mussaman Curry Lamb with Orange and Jasmine Rice,"[""curry paste"", ""red chiles"", ""black peppercorns"", ""coriander seeds"", ""cumin seeds"", ""pods"", ""cloves"", ""cinnamon"", ""stalks lemongrass"", ""galangal"", ""garlic"", ""shallots"", ""shrimp paste"", ""stock"", ""broth"", ""Ingredients"", ""lamb shoulder chops"", ""eggplant"", ""choy"", ""carrots"", ""Curry"", ""basil"", ""cashews"", ""clear beef broth"", ""orange juice"", ""fish sauce""]",Lamb,Meat
Mutton Curry,"[""mutton"", ""curd"", ""ginger garlic"", ""oil"", ""clove"", ""bay leaf"", ""onions"", ""coriander powder"", ""chilly powder"", ""jeera powder"", ""lemon"", ""coriander"", ""coconut scraps"", ""butter"", ""turmeric"", ""salt""]",Lamb,Meat
Lamb-Fruit Curry,"[""flour"", ""curry powder"", ""salt"", ""lean"", ""oil"", ""butter"", ""onion"", ""flour"", ""lemon juice"", ""chicken broth"", ""green apple"", ""banana"", ""pineapple"", ""Major""]",Lamb,Meat
Dad's Easy Lamb Curry Recipe,"[""oil"", ""onion"", ""celery"", ""flour"", ""curry pwdr"", ""boiling water"", ""bouillon"", ""catsup"", ""salt"", ""apple"", ""lamb""]",Lamb,Meat
Four Spice Lamb Curry,"[""peanut oil"", ""onion"", ""chili flakes"", ""ground ginger"", ""ground coriander"", ""ground cumin"", ""red"", ""beef"", ""tomatoes"", ""chick-peas"", ""coriander""]",Lamb,Meat
Sri Lanka Elu Mus (Mutton Curry),"[""vinegar"", ""onions"", ""garlic"", ""ginger"", ""vegetable oil"", ""chili powder"", ""paprika"", ""turmeric"", ""black pepper"", ""coriander"", ""cumin"", ""fenugreek"", ""curry"", ""curry powder"", ""salt""]",Lamb,Meat
Lamb Curry With Spicy Couscous,"[""lean"", ""tomatoes"", ""olive oil"", ""onion"", ""clove garlic"", ""Salt"", ""Ground black pepper"", ""Ground cinnamon"", ""Ground cumin"", ""Ground turmeric"", ""Ground gara masala"", ""parsley"", ""chili powder"", ""Paprika"", ""Couscous"", ""Boiling water"", ""malt vinegar"", ""lemon juice"", ""hot chili powder"", ""paprika"", ""garlic powder""]",Lamb,Meat
Indian Style Lamb Curry,"[""grapeseed oil"", ""onions"", ""turmeric"", ""masala"", ""garlic"", ""chiles"", ""lean lamb"", ""flour"", ""tomato paste"", ""vegetable stock"", ""potatoes"", ""rice"", ""salt"", ""cilantro""]",Lamb,Meat
Easy Lamb Curry,"[""beef stock"", ""brown onion"", ""garlic"", ""curry paste"", ""Italian-style diced"", ""salt"", ""basmati rice"", ""fresh coriander sprig"", ""natural yoghurt""]",Lamb,Meat
Saag Gosht (Lamb and Spinach Curry),"[""Tomatoes"", ""Red Wine"", ""Onion"", ""Fresh Spinach"", ""clove Garlic"", ""Fresh Chillies"", ""Ginger"", ""Ground Cumin"", ""Ground Coriander"", ""Ground Cinnamon"", ""pods"", ""Salt""]",Lamb,Meat
Quick Lamb Curry,"[""green bell peppers"", ""onion"", ""garlic"", ""ginger"", ""vegetable oil"", ""black mustard seeds"", ""curry powder"", ""tomatoes"", ""coconut milk"", ""lamb"", ""frozen peas"", ""Salt"", ""cilantro""]",Lamb,Meat
Lamb and sweetcorn curry recipe,"[""lamb shoulder meat"", ""ghee"", ""cloves"", ""black cardamom pods"", ""bay leaves"", ""onions"", ""green chillies"", ""salt"", ""ground coriander"", ""ground cumin"", ""ground turmeric"", ""garlic"", ""sweetcorn kernels"", ""yoghurt"", ""lamb stock"", ""ginger"", ""fresh coriander"", ""lemon""]",Lamb,Meat
Lamb Curry Recipe,"[""T"", ""cumin seeds"", ""T coriander seeds"", ""T"", ""T"", ""clove"", ""cinnamon"", ""cardamom pods"", ""ginger"", ""red onions"", ""garlic"", ""fresh red chiles"", ""fresh cilantro"", ""T"", ""tomatoes"", ""stock"", ""lamb"", ""handful"", ""salt"", ""lime juice"", ""cayenne pepper""]",Lamb,Meat
Lamb Curry in a Hurry,"[""Butter"", ""Canola Oil"", ""Celery"", ""Onions"", ""Apples"", ""Salt"", ""Flour"", ""Broth"", ""Curry"", ""Cayenne"", ""Raisins""]",Lamb,Meat
Easy Lamb Curry,"[""lamb"", ""canola oil"", ""curry powder"", ""garlic"", ""tomatoes"", ""ginger"", ""cumin"", ""condensed French onion soup"", ""water"", ""potatoes""]",Lamb,Meat
My Favorite Lamb Curry with Condiments,"[""lamb shoulder"", ""flour"", ""garlic"", ""onions"", ""unsalted butter"", ""apples"", ""curry powder"", ""brown sugar"", ""raisins"", ""Worcestershire sauce"", ""lemons"", ""coconut"", ""black walnuts"", ""lime peel"", ""salt"", ""water"", ""rice"", ""eggs"", ""Peanuts"", ""coconut"", ""Raisins"", ""lemon"", ""Pineapple"", ""bananas""]",Lamb,Meat
Curried LambLamb and Curry Were Meant for Each Other.,"[""lean"", ""curry powder"", ""salt"", ""ground black pepper"", ""canola oil"", ""yellow onion"", ""parsley"", ""water"", ""brown rice""]",Lamb,Meat
Lamb Curry,"[""black mustard seeds"", ""coriander seeds"", ""ground cardamom"", ""cumin seeds"", ""whole black peppercorns"", ""garam masala"", ""turmeric"", ""red pepper"", ""Cinnamon"", ""lamb"", ""salt"", ""Canola oil"", ""onion"", ""garlic"", ""fresh ginger"", ""bay leaves"", ""Chicken"", ""tomato puree"", ""lemon"", ""potatoes"", ""raisins"", ""blanched almonds"", ""plain yogurt"", ""fresh cilantro""]",Lamb,Meat
Curry Lamb Shanks with Potatoes,"[""lamb shanks"", ""Kosher salt"", ""olive oil"", ""butter"", ""golden curry"", ""ground allspice"", ""paprika"", ""frozen pearl onions"", ""red bell pepper"", ""garlic"", ""thyme"", ""scotch"", ""chicken stock"", ""red bliss"", ""Rice"", ""fresh cilantro"", ""rice""]",Lamb,Meat
Guru's Lamb Curry,"[""ground lamb"", ""oil"", ""onion"", ""carrots"", ""tomatoes"", ""eggplant"", ""cayenne pepper"", ""curry powder"", ""brown sugar"", ""salt"", ""peanuts""]",Lamb,Meat
Mustard and Curry Roast Lamb,"[""loin roast"", ""breadcrumbs"", ""vegetable oil"", ""mint leaves"", ""curry powder"", ""kosher salt"", ""freshly ground black pepper"", ""hot mustard""]",Lamb,Meat
Indian Lamb Curry With Basmati Rice,"[""onions"", ""garlic"", ""fresh chili"", ""ginger"", ""tomatoes"", ""coconut milk"", ""lamb juice"", ""garam masala"", ""Salt"", ""cashews"", ""basmati rice"", ""cilantro""]",Lamb,Meat
Lamb Kofta Curry,"[""Green Chili"", ""Potatoes"", ""Ginger Garlic"", ""Cilantro"", ""Salt"", ""Cooking Oil"", ""Onion"", ""Ginger Garlic"", ""Ground Cumin"", ""Salt"", ""Turmeric"", ""Cayenne Pepper"", ""Coriander Powder"", ""Tomato Puree"", ""Cashews"", ""Heavy Cream"", ""Garam Masala""]",Lamb,Meat
East Indian Curry,"[""butter"", ""onions"", ""curry powder"", ""lamb"", ""bay leaves"", ""tomatoes"", ""saffron threads"", ""cardamom seeds"", ""clove garlic"", ""cloves"", ""cinnamon"", ""ginger root shaved"", ""lemon juice"", ""salt"", ""red hot pepper sauce""]",Lamb,Meat
Mutton curry,"[""mutton"", ""pepper"", ""cinnamon"", ""salt"", ""water"", ""onion"", ""tomatoes"", ""cummin seeds"", ""sunflower oil"", ""garlic"", ""mince ginger"", ""green chillies"", ""garam masala"", ""water"", ""curry powder""]",Lamb,Meat
Lamb Pakuwa (Nepali Slow-Cooked Dry Lamb Curry),"[""boneless lamb"", ""onion"", ""tomatoes"", ""cumin powder"", ""chili paste"", ""garlic"", ""ginger"", ""timur"", ""turmeric"", ""brown sugar"", ""cilantro"", ""red chilies"", ""cumin seeds"", ""broth"", ""water"", ""cooking oil"", ""Salt"", ""scallions""]",Lamb,Meat
Indian Style Lamb Curry Recipe,"[""lamb"", ""oil"", ""onion"", ""garlic"", ""salt"", ""tumeric"", ""Masala"", ""cilantro"", ""fresh chilies"", ""potatoes"", ""curry"", ""water""]",Lamb,Meat
Curry Lamb Recipe,"[""butter"", ""onion"", ""green pepper"", ""celery"", ""curry pwdr"", ""salt"", ""all-purpose"", ""chicken broth"", ""lamb"", ""warm cooked rice""]",Lamb,Meat
sig Andhra Lamb Chilli Curry,"[""vegetable oil"", ""onion"", ""clove garlic"", ""fresh ginger"", ""curry"", ""curry"", ""chilli powder"", ""ground turmeric"", ""lean lamb"", ""coconut milk"", ""onion"", ""salt""]",Lamb,Meat
"Curry lamb, spinach and chickpea stew Recipe DoggieMama","[""lamb center"", ""fresh spinach"", ""chickpeas"", ""onion"", ""olive oil"", ""clove garlic"", ""curry powder"", ""ground cinammon"", ""tamarind"", ""ground cloves"", ""cayenne pepper"", ""nonfat yogurt""]",Lamb,Meat
Lamb Curry Empanadas,"[""raisins"", ""rum"", ""Greek yogurt"", ""Curry Oil"", ""onions"", ""pepper"", ""ginger"", ""ground lamb"", ""white pepper"", ""ground cumin"", ""ground cloves"", ""ground cinnamon"", ""ground nutmeg"", ""cilantro"", ""mint leaves"", ""pine nuts"", ""vegetable oil"", ""curry powder"", ""ground cumin"", ""turmeric"", ""cloves"", ""red chiles"", ""all-purpose"", ""salt"", ""sugar"", ""shortening"", ""water"", ""eggs""]",Lamb,Meat
Williamsburg Lamb Curry,"[""lamb"", ""salt"", ""ground pepper"", ""butter"", ""water"", ""onions"", ""flour"", ""curry powder"", ""beef stock"", ""lemon juice""]",Lamb,Meat
Bahamian Lamb Curry Recipe,"[""Vegetable oil"", ""lamb shoulder"", ""Butter"", ""onion"", ""celery"", ""garlic"", ""Curry"", ""cumin pwdr"", ""Tomato paste"", ""Chicken broth"", ""thyme"", ""Bay leaf"", ""carrots"", ""potatoes"", ""Salt"", ""Coconut lowfat milk"", ""lime juice Salt"", ""cilantro""]",Lamb,Meat
Pickling-Pot Lamb Curry (Martabaan Ka Meat),"[""canola oil"", ""onion"", ""fresh ginger"", ""garlic"", ""paprika"", ""ground coriander"", ""ground turmeric"", ""lamb shoulder"", ""chicken"", ""tomatoes"", ""chiles"", ""cilantro"", ""jalapeno"", ""garam masala"", ""basmati rice""]",Lamb,Meat
Lamb & Spinach Curry,"[""boneless lamb"", ""onions"", ""yogurt"", ""olive oil"", ""peppercorn"", ""bay leaves"", ""cardamom pods"", ""cloves"", ""garlic"", ""ginger"", ""coriander"", ""cumin"", ""cayenne"", ""salt"", ""garam masala""]",Lamb,Meat
Lamb Curry,"[""Salt"", ""vegetable oil"", ""onions"", ""garlic"", ""black mustard seeds"", ""garam masala"", ""turmeric"", ""ground cardamom"", ""ground cumin"", ""red pepper"", ""brown lamb stock"", ""yogurt""]",Lamb,Meat
"'Night 'Night Curry: Roasted Lamb Curry with Garam Masala, Caraway and Apricots","[""caraway seeds"", ""garlic"", ""fresh ginger"", ""Kosher salt"", ""milk yogurt"", ""turmeric"", ""cayenne pepper"", ""store-bought"", ""meat"", ""red onions"", ""grapeseed oil"", ""milk"", ""handful dried apricots"", ""slivered almonds"", ""Crusty bread"", ""cinnamon"", ""whole cloves"", ""green cardamom pods"", ""black cardamom pods"", ""active dry yeast"", ""sugar"", ""flour"", ""salt"", ""baking powder"", ""plain yogurt"", ""extra-virgin olive oil"", ""kalonji"", ""fennel seeds"", ""butter"", ""salt""]",Lamb,Meat
Lamb Kemma Curry,"[""ghee"", ""onion"", ""garlic"", ""fresh coriander"", ""ground lamb"", ""turmeric"", ""chili powder"", ""tomatoes"", ""salt"", ""garam masala"", ""peas""]",Lamb,Meat
Coriander Lamb Curry,"[""lamb pieces"", ""butter"", ""red onion"", ""green pepper"", ""tomatoes"", ""tomato puree"", ""curry"", ""basmati rice"", ""clove garlic"", ""clove ginger"", ""chilli powder"", ""turmeric"", ""paprika"", ""fresh coriander""]",Lamb,Meat
Curry Lamb Burgers,"[""fresh breadcrumbs"", ""cashews"", ""sweet chilli sauce"", ""ground ginger"", ""ground coriander"", ""ground cumin"", ""garlic"", ""egg"", ""Indian Sauce"", ""KRAFT Classic Mayonnaise"", ""Crunchy Peanut Butter"", ""ground coriander"", ""ground cumin"", ""ground ginger"", ""ground turmeric"", ""salad greens"", ""pita bread""]",Lamb,Meat
Kashmiri Rogan Josh (Indian Mutton/ Lamb Curry),"[""lamb"", ""fennel powder"", ""plain yogurt"", ""oil"", ""cinnamon"", ""clove"", ""asafetida powder"", ""paprika"", ""garam masala"", ""cayenne pepper"", ""ginger powder"", ""water"", ""salt""]",Lamb,Meat
Lamb Curry,"[""coriander seeds"", ""cumin seeds"", ""peppercorns"", ""peanut"", ""Spanish onion"", ""garlic"", ""ginger"", ""lamb"", ""turmeric"", ""cinnamon"", ""salt"", ""milk yogurt"", ""milk"", ""coconut milk"", ""scallions"", ""cilantro"", ""lemon""]",Lamb,Meat
My Coconut & Lamb Curry ',"[""oil"", ""Onion"", ""Garlic"", ""Ginger"", ""Chilli"", ""Cumin"", ""Tumeric powder"", ""Garam Masala"", ""Tomatoes"", ""lamb"", ""Coconut Milk"", ""Apple"", ""Flour"", ""potatoes"", ""chicken"", ""water"", ""Apple sauce"", ""Yogurt"", ""Salt""]",Lamb,Meat
Curry Crusted Lamb,"[""Cream Cheese"", ""curry paste"", ""rice"", ""coriander""]",Lamb,Meat
Indian Almond Curry Lamb,"[""Olive oil spray"", ""green lentils"", ""red onion"", ""cumin seeds"", ""ginger"", ""garlic"", ""salt"", ""almonds"", ""ground cardamom"", ""ground coriander"", ""cayenne"", ""ground cloves"", ""lamb"", ""green bell pepper"", ""fresh cilantro"", ""tomato sauce""]",Lamb,Meat
Southern Indian Lamb Curry,"[""extra-virgin olive oil"", ""cloves"", ""cumin"", ""fennel seed"", ""coriander seed"", ""turmeric"", ""cinnamon"", ""bay leaves"", ""curry"", ""boned shoulder lamb"", ""red chili"", ""onions"", ""garlic"", ""fresh ginger"", ""Kosher salt"", ""tomatoes"", ""natural yogurt"", ""fresh cilantro"", ""scallion"", ""steamed basmati rice""]",Lamb,Meat
Green Lamb Curry,"[""lemon juice"", ""cilantro"", ""ginger"", ""garlic"", ""chilies"", ""ground turmeric"", ""salt"", ""olive"", ""whole fennel seeds"", ""onion"", ""boneless lamb"", ""coconut milk""]",Lamb,Meat
Indian Lamb Curry,"[""Ginger"", ""Garlic"", ""Chili Powder"", ""Onions"", ""Tomatoes"", ""Red Chilis"", ""Garam Masala"", ""Salt"", ""Cinnamon"", ""Bay Leaves"", ""Water""]",Lamb,Meat
Spicy Curry Sirloin Lamb Steaks with Cucumber Raita,"[""yogurt plain"", ""cucumbers"", ""mint"", ""mayonnaise"", ""lime juice"", ""salt"", ""garlic"", ""lamb shoulder chops""]",Lamb,Meat
Lamb Curry,"[""peanut oil"", ""lamb shoulder"", ""salt"", ""fresh ground black pepper"", ""onions"", ""garlic"", ""ground ginger"", ""garam masala"", ""cayenne pepper"", ""meat"", ""yogurt"", ""cilantro leaf""]",Lamb,Meat
No Hassle Meat Curry,"[""lamb"", ""ginger"", ""garlic"", ""onions"", ""cardamom powder"", ""turmeric"", ""chili powder"", ""coriander powder"", ""garam masala"", ""yogurt"", ""oil"", ""onions"", ""fresh coriander leaves""]",Lamb,Meat
Lamb curry recipe,"[""sunflower oil"", ""ginger paste"", ""garlic"", ""ground cloves"", ""ground cinnamon"", ""green cardamom"", ""ground turmeric"", ""salt"", ""chilli powder"", ""ground cumin"", ""lean lamb"", ""onions"", ""bay leaves"", ""boiling water"", ""tomatoes"", ""lime"", ""garam masala""]",Lamb,Meat
Slow-Cooked Lamb and Spinach Curry,"[""canola oil"", ""onions"", ""ginger"", ""garlic"", ""chili powder"", ""ground cumin"", ""ground coriander"", ""lamb shoulder"", ""tomatoes"", ""tomato paste"", ""salt"", ""baby spinach""]",Lamb,Meat
West Indian Lamb Curry,"[""boneless lamb"", ""curry powder"", ""kosher salt"", ""ground ginger"", ""black pepper"", ""white onion"", ""scallions"", ""garlic"", ""ginger"", ""berries"", ""thyme"", ""extra-virgin olive oil"", ""potato"", ""carrots"", ""Scotch"", ""white rice"", ""Lime wedges"", ""Mango"", ""cilantro""]",Lamb,Meat
My Fruity Lamb Curry ',"[""lamb"", ""sultanas"", ""oil"", ""Shallots"", ""Garlic"", ""tumeric"", ""chilli powder"", ""Mixed Spice"", ""curry powder"", ""curry"", ""water"", ""Apple Sauce"", ""Mango"", ""apple"", ""Salt"", ""Tomato sauce""]",Lamb,Meat
Curry Lamb/ Goat Which you can gain access to,"[""Goat meat"", ""curry powder"", ""Black pepper"", ""Salt"", ""All spice"", ""Onion"", ""garlic"", ""Scotch"", ""Stalks scallions"", ""tomato"", ""Vegetable oil"", ""Carrot"", ""Green pepper"", ""Irish potatoes"", ""Ginger"", ""salt"", ""Water""]",Lamb,Meat
Tomato & Lamb Curry (Oamc),"[""olive oil"", ""brown onion"", ""curry"", ""tomatoes"", ""tomato paste"", ""beef stock"", ""butternut squash"", ""green beans"", ""frozen peas"", ""basmati rice"", ""cilantro""]",Lamb,Meat
Fragrant Lamb Curry with Barley,"[""olive oil"", ""onions"", ""garlic"", ""ginger root"", ""long red"", ""sweet paprika"", ""turmeric"", ""salt"", ""cracked black"", ""cayenne pepper"", ""black cardamom pods"", ""cloves"", ""cinnamon"", ""bay leaves"", ""barley"", ""chicken"", ""yogurt"", ""cilantro""]",Lamb,Meat
Sri Lankan Lamb Curry Recipe,"[""lamb cubes"", ""vinegar"", ""onion"", ""garlic"", ""section ginger"", ""oil"", ""ground coriander"", ""paprika"", ""cayenne"", ""turmeric"", ""ground cumin"", ""curry"", ""oil"", ""unsweetened coconut milk""]",Lamb,Meat
